"X","Y"
1658007.07156546,7046658.29788512
1668007.07156546,7046658.29788512
1678007.07156546,7046658.29788512
1688007.07156546,7046658.29788512
1698007.07156546,7046658.29788512
1708007.07156546,7046658.29788512
1718007.07156546,7046658.29788512
1728007.07156546,7046658.29788512
1738007.07156546,7046658.29788512
1748007.07156546,7046658.29788512
1757663.70045833,7046849.47545708
1768647.50716833,7047059.36377519
1530216.14937096,7060976.14088116
1538507.44446653,7059108.18852328
1548354.8418742,7056992.68370769
1558007.07156546,7056658.29788512
1568007.07156546,7056658.29788512
1578007.07156546,7056658.29788512
1588007.07156546,7056658.29788512
1598007.07156546,7056658.29788512
1608007.07156546,7056658.29788512
1618007.07156546,7056658.29788512
1628007.07156546,7056658.29788512
1638007.07156546,7056658.29788512
1648007.07156546,7056658.29788512
1658007.07156546,7056658.29788512
1668007.07156546,7056658.29788512
1678007.07156546,7056658.29788512
1688007.07156546,7056658.29788512
1698007.07156546,7056658.29788512
1708007.07156546,7056658.29788512
1718007.07156546,7056658.29788512
1728007.07156546,7056658.29788512
1738007.07156546,7056658.29788512
1748007.07156546,7056658.29788512
1758007.07156546,7056658.29788512
1767660.98663671,7056619.11732632
1774467.44979523,7058100.70195598
1521255.7965559,7070072.84712736
1528550.2866131,7067116.45370941
1538007.07156546,7066658.29788512
1548007.07156546,7066658.29788512
1558007.07156546,7066658.29788512
1568007.07156546,7066658.29788512
1578007.07156546,7066658.29788512
1588007.07156546,7066658.29788512
1598007.07156546,7066658.29788512
1608007.07156546,7066658.29788512
1618007.07156546,7066658.29788512
1628007.07156546,7066658.29788512
1638007.07156546,7066658.29788512
1648007.07156546,7066658.29788512
1658007.07156546,7066658.29788512
1668007.07156546,7066658.29788512
1678007.07156546,7066658.29788512
1688007.07156546,7066658.29788512
1698007.07156546,7066658.29788512
1708007.07156546,7066658.29788512
1718007.07156546,7066658.29788512
1728007.07156546,7066658.29788512
1738007.07156546,7066658.29788512
1748007.07156546,7066658.29788512
1757907.85121486,7066549.5044459
1766340.38216967,7065578.90364816
1778188.92979936,7066847.26474614
1512533.08279746,7078763.25644275
1518353.12957039,7077059.01357902
1528007.07156546,7076658.29788512
1538007.07156546,7076658.29788512
1548007.07156546,7076658.29788512
1558007.07156546,7076658.29788512
1568007.07156546,7076658.29788512
1578007.07156546,7076658.29788512
1588007.07156546,7076658.29788512
1598007.07156546,7076658.29788512
1608007.07156546,7076658.29788512
1618007.07156546,7076658.29788512
1628007.07156546,7076658.29788512
1638007.07156546,7076658.29788512
1648007.07156546,7076658.29788512
1658007.07156546,7076658.29788512
1668007.07156546,7076658.29788512
1678007.07156546,7076658.29788512
1688007.07156546,7076658.29788512
1698007.07156546,7076658.29788512
1708007.07156546,7076658.29788512
1718007.07156546,7076658.29788512
1728007.07156546,7076658.29788512
1738007.07156546,7076658.29788512
1747997.95908152,7076629.63667137
1755451.71616716,7076136.57217751
1780887.48746058,7074833.51852971
1785204.55156941,7078513.64578535
1510872.11378858,7087426.73445748
1518007.07156546,7086658.29788512
1528007.07156546,7086658.29788512
1538007.07156546,7086658.29788512
1548007.07156546,7086658.29788512
1558007.07156546,7086658.29788512
1568007.07156546,7086658.29788512
1578007.07156546,7086658.29788512
1588007.07156546,7086658.29788512
1598007.07156546,7086658.29788512
1608007.07156546,7086658.29788512
1618007.07156546,7086658.29788512
1628007.07156546,7086658.29788512
1638007.07156546,7086658.29788512
1648007.07156546,7086658.29788512
1658007.07156546,7086658.29788512
1668007.07156546,7086658.29788512
1678007.07156546,7086658.29788512
1688007.07156546,7086658.29788512
1698007.07156546,7086658.29788512
1708007.07156546,7086658.29788512
1718007.07156546,7086658.29788512
1728007.07156546,7086658.29788512
1738007.07156546,7086658.29788512
1747445.56136914,7087763.05700921
1757766.44380147,7088757.30217512
1768449.11625777,7089008.5824834
1776700.4638961,7087522.78832808
1787997.32322128,7086374.66414592
1793569.27865626,7090785.29313293
1501393.40940785,7099555.16053624
1508604.6547831,7097137.40836284
1518007.07156546,7096658.29788512
1528007.07156546,7096658.29788512
1538007.07156546,7096658.29788512
1548007.07156546,7096658.29788512
1558007.07156546,7096658.29788512
1568007.07156546,7096658.29788512
1578007.07156546,7096658.29788512
1588007.07156546,7096658.29788512
1598007.07156546,7096658.29788512
1608007.07156546,7096658.29788512
1618007.07156546,7096658.29788512
1628007.07156546,7096658.29788512
1638007.07156546,7096658.29788512
1648007.07156546,7096658.29788512
1658007.07156546,7096658.29788512
1668007.07156546,7096658.29788512
1678007.07156546,7096658.29788512
1688007.07156546,7096658.29788512
1698007.07156546,7096658.29788512
1708007.07156546,7096658.29788512
1718007.07156546,7096658.29788512
1728007.07156546,7096658.29788512
1738007.07156546,7096658.29788512
1748007.07156546,7096658.29788512
1758007.07156546,7096658.29788512
1768007.07156546,7096658.29788512
1777972.89588268,7096690.32583502
1785797.32617044,7098235.53868032
1797363.31202723,7097588.1614507
1492942.85323308,7111545.2657538
1499280.11882677,7107522.04701593
1508007.07156546,7106658.29788512
1518007.07156546,7106658.29788512
1528007.07156546,7106658.29788512
1538007.07156546,7106658.29788512
1548007.07156546,7106658.29788512
1558007.07156546,7106658.29788512
1568007.07156546,7106658.29788512
1578007.07156546,7106658.29788512
1588007.07156546,7106658.29788512
1598007.07156546,7106658.29788512
1608007.07156546,7106658.29788512
1618007.07156546,7106658.29788512
1628007.07156546,7106658.29788512
1638007.07156546,7106658.29788512
1648007.07156546,7106658.29788512
1658007.07156546,7106658.29788512
1668007.07156546,7106658.29788512
1678007.07156546,7106658.29788512
1688007.07156546,7106658.29788512
1698007.07156546,7106658.29788512
1708007.07156546,7106658.29788512
1718007.07156546,7106658.29788512
1728007.07156546,7106658.29788512
1738007.07156546,7106658.29788512
1748007.07156546,7106658.29788512
1758007.07156546,7106658.29788512
1768003.70087517,7106656.03026291
1777119.82298317,7104731.78546647
1787321.94691919,7106531.00256423
1800923.95040124,7105356.25697706
1805839.41577573,7108603.50393879
1481225.63301644,7120214.35997047
1488629.72176648,7118362.86202168
1498007.07156546,7116658.29788512
1508007.07156546,7116658.29788512
1518007.07156546,7116658.29788512
1528007.07156546,7116658.29788512
1538007.07156546,7116658.29788512
1548007.07156546,7116658.29788512
1558007.07156546,7116658.29788512
1568007.07156546,7116658.29788512
1578007.07156546,7116658.29788512
1588007.07156546,7116658.29788512
1598007.07156546,7116658.29788512
1608007.07156546,7116658.29788512
1618007.07156546,7116658.29788512
1628007.07156546,7116658.29788512
